Accession;Bdis_Bd21-3;Bsta_ABR114;Bhyb_ABR113;Barb502;Bboi3;Bboi10;Bboi15;Bmex347-2;Bmex504;Bmex348H;Bpho6-1R;Bpho422;Bpho452;Bpho552;Bpho553;Bpho554-1;Bpin505;Bpin34;Bpin514;Bpin520;Bret400;Bret407;Bret453-4;Bret454;Bret504;Bret555;Bret403;Bret408;Bret551;Bret557;Bret561;Brup7;Brup439-1;Brup441;Brup442;Brup443;Brup444;Brup182;Brup600;Brup605;Bsyl54-1;Bsyl466-6;Bsyl477-1;Bsyl501-6
genome_size_1Cx;308.559;275.796;309.293;348.657;527.468;513.776;513.287;922.743;922.743;922.743;352.814;359.171;354.688;359.252;355.829;351.265;401.958;354.281;375.797;366.506;416.628;419.318;449.880;455.259;408.071;419.318;386.799;396.253;343.767;401.632;385.006;381.909;378.975;362.594;381.420;366.261;364.794;368.054;361.208;369.195;434.232;453.792;455.748;463.083
rDNA;6.912;1.544;0.186;4.358;4.009;9.556;4.671;8.674;6.551;7.659;1.552;5.998;0.355;3.305;5.800;0.386;5.949;4.251;3.082;2.566;0.333;5.451;4.319;5.099;5.468;4.487;0.464;4.597;5.225;4.900;0.385;6.263;6.139;3.735;3.967;2.600;4.961;3.865;3.865;3.729;0.955;7.760;12.260;13.892
satellite;0.031;0.331;0.495;0.209;6.066;1.130;7.802;15.410;12.272;13.195;1.623;17.671;0.603;18.933;15.728;1.651;1.166;17.431;22.736;0.953;1.208;4.654;22.989;2.367;4.815;1.887;5.222;20.962;4.778;2.129;18.519;20.814;22.170;1.233;1.297;18.972;17.036;16.378;19.939;19.272;1.650;3.903;11.211;2.454
mobile_element;0.000;0.110;0.000;0.000;0.000;0.000;0.000;0.000;8.582;0.369;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Class_I;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.456;0.000
LTR;0.771;2.675;6.031;0.139;5.591;5.035;5.749;12.918;2.768;9.043;5.292;6.716;5.781;1.437;6.903;7.236;4.582;8.361;6.764;9.456;5.583;4.067;9.313;6.829;5.223;1.551;5.260;5.508;3.300;5.784;5.660;5.843;5.836;4.895;9.269;1.209;4.633;4.601;1.517;8.085;0.130;6.126;3.145;6.159
Ty1_copia;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.126;3.267;3.008;3.056
Ale;0.000;0.083;0.340;0.000;0.000;0.000;0.000;1.845;1.845;1.476;0.106;0.000;0.035;0.072;0.107;0.070;0.040;0.000;0.000;0.073;0.000;0.000;0.045;0.046;0.000;0.000;0.193;0.000;0.000;0.000;0.116;0.191;0.000;0.000;0.000;0.037;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Alesia;0.278;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Angela;2.839;4.220;1.825;0.697;0.949;0.873;0.873;6.644;0.000;7.013;0.176;0.251;0.213;0.216;0.213;0.281;0.040;0.000;0.489;0.367;0.708;0.503;0.630;0.683;0.163;0.671;0.503;0.000;0.241;0.402;0.270;0.153;0.000;0.254;0.191;0.000;0.036;0.258;0.000;0.258;1.607;1.588;1.777;1.806
